productType,imageUrl,productName,displayPrice,onSale,worth,shippingDisplay,shippingEligibility,salePercentage,fk_shop_id,salePrice
leg,https://picsum.photos/id/199/400/300,Guinea sweater,95.75,false,95.75,Free shipping eligible,true,1,4,95.75
active,https://picsum.photos/id/198/400/300,panel calculate tee,55.99,true,55.99,Free shipping eligible,true,0.15,3,$47.59
undefined,https://picsum.photos/id/197/400/300,invoice navigate pants,55.99,false,55.99,Free shipping eligible,true,1,10,55.99
leg,https://picsum.photos/id/196/400/300,Table XML needs-based sweater,95.75,true,95.75,Standard Shipping,false,0.25,3,$71.81
neck,https://picsum.photos/id/195/400/300,Intelligent Bike Shoes shoes,95.75,false,95.75,Free shipping eligible,true,1,1,95.75
leg,https://picsum.photos/id/194/400/300,user-facing deliverables shorts,55.99,false,55.99,Free shipping eligible,true,1,8,55.99
leg,https://picsum.photos/id/193/400/300,Indonesia Pa'anga action-items shoes,95.75,false,95.75,Standard Shipping,false,1,4,95.75
leg,https://picsum.photos/id/192/400/300,payment long-sleeve,55.99,true,55.99,Free shipping eligible,true,0.3,2,$39.19
leg,https://picsum.photos/id/191/400/300,synthesize fresh-thinking Implementation pull-over,55.99,true,55.99,Free shipping eligible,true,0.15,9,$47.59
leg,https://picsum.photos/id/190/400/300,International Customer Guernsey shorts,95.75,true,95.75,Standard Shipping,false,0.2,10,$76.60
casual,https://picsum.photos/id/189/400/300,Home sweater,55.99,true,55.99,Standard Shipping,false,0.3,9,$39.19
head,https://picsum.photos/id/188/400/300,Poland Customer monitoring pull-over,95.75,false,95.75,Free shipping eligible,true,1,2,95.75
head,https://picsum.photos/id/187/400/300,Minnesota primary sweater,55.99,true,55.99,Free shipping eligible,true,0.1,4,$50.39
casual,https://picsum.photos/id/186/400/300,Rubber repurpose Ball suit,55.99,true,55.99,Standard Shipping,false,0.3,8,$39.19
torso,https://picsum.photos/id/185/400/300,overriding t-shirt,55.99,true,55.99,Free shipping eligible,true,0.2,6,$44.79
neck,https://picsum.photos/id/184/400/300,invoice Oregon shoes,55.99,true,55.99,Standard Shipping,false,0.3,2,$39.19
undefined,https://picsum.photos/id/183/400/300,24/7 Table pants,55.99,false,55.99,Standard Shipping,false,1,8,55.99
head,https://picsum.photos/id/182/400/300,Plastic Handcrafted sweater,55.99,true,55.99,Free shipping eligible,true,0.1,3,$50.39
leg,https://picsum.photos/id/181/400/300,Grass-roots sweater,55.99,false,55.99,Free shipping eligible,true,1,2,55.99
swim,https://picsum.photos/id/180/400/300,wireless Clothing grey long-sleeve,95.75,false,95.75,Free shipping eligible,true,1,7,95.75
casual,https://picsum.photos/id/179/400/300,connecting Creative pants,95.75,false,95.75,Standard Shipping,false,1,2,95.75
neck,https://picsum.photos/id/178/400/300,Rubber repurpose Ball suit,95.75,false,95.75,Standard Shipping,false,1,5,95.75
leg,https://picsum.photos/id/177/400/300,invoice navigate pants,95.75,false,95.75,Free shipping eligible,true,1,1,95.75
leg,https://picsum.photos/id/176/400/300,Table XML needs-based sweater,55.99,true,55.99,Free shipping eligible,true,0.25,10,$41.99
neck,https://picsum.photos/id/175/400/300,Mouse CSS t-shirt,95.75,true,95.75,Standard Shipping,false,0.75,8,$23.94
foot,https://picsum.photos/id/174/400/300,maroon optimize t-shirt,55.99,true,55.99,Free shipping eligible,true,0.1,10,$50.39
torso,https://picsum.photos/id/173/400/300,maroon optimize t-shirt,95.75,false,95.75,Standard Shipping,false,1,9,95.75
active,https://picsum.photos/id/172/400/300,bus Salad pants,95.75,false,95.75,Standard Shipping,false,1,6,95.75
foot,https://picsum.photos/id/171/400/300,Dollar Configurable Dollar shorts,55.99,true,55.99,Standard Shipping,false,0.15,7,$47.59
head,https://picsum.photos/id/170/400/300,Decentralized Future THX shorts,95.75,true,95.75,Free shipping eligible,true,0.75,6,$23.94
head,https://picsum.photos/id/169/400/300,Senior Configuration blazer,55.99,true,55.99,Standard Shipping,false,0.75,5,$14.00
leg,https://picsum.photos/id/168/400/300,Baby Hampshire America pull-over,95.75,false,95.75,Standard Shipping,false,1,1,95.75
casual,https://picsum.photos/id/167/400/300,Croatian navigating long-sleeve,55.99,true,55.99,Free shipping eligible,true,0.2,4,$44.79
swim,https://picsum.photos/id/166/400/300,invoice navigate pants,55.99,false,55.99,Free shipping eligible,true,1,3,55.99
head,https://picsum.photos/id/165/400/300,Iceland tee,55.99,false,55.99,Standard Shipping,false,1,6,55.99
neck,https://picsum.photos/id/164/400/300,Squares shirt,95.75,true,95.75,Free shipping eligible,true,0.15,4,$81.39
neck,https://picsum.photos/id/163/400/300,mesh wireless sweater,55.99,true,55.99,Standard Shipping,false,0.15,1,$47.59
casual,https://picsum.photos/id/162/400/300,solid tee,95.75,false,95.75,Standard Shipping,false,1,4,95.75
undefined,https://picsum.photos/id/161/400/300,Zealand shoes,95.75,false,95.75,Standard Shipping,false,1,8,95.75
foot,https://picsum.photos/id/160/400/300,framework shoes,55.99,true,55.99,Standard Shipping,false,0.1,10,$50.39
casual,https://picsum.photos/id/159/400/300,Cambridgeshire program Borders shorts,95.75,false,95.75,Standard Shipping,false,1,5,95.75
foot,https://picsum.photos/id/158/400/300,Gorgeous Delaware tee,95.75,false,95.75,Free shipping eligible,true,1,9,95.75
neck,https://picsum.photos/id/157/400/300,port Manager sweater,55.99,false,55.99,Standard Shipping,false,1,1,55.99
head,https://picsum.photos/id/156/400/300,Table XML needs-based sweater,95.75,true,95.75,Free shipping eligible,true,0.5,2,$47.88
leg,https://picsum.photos/id/155/400/300,Wooden Pataca pull-over,95.75,true,95.75,Standard Shipping,false,0.1,5,$86.17
casual,https://picsum.photos/id/154/400/300,York incentivize tee,55.99,true,55.99,Free shipping eligible,true,0.15,1,$47.59
neck,https://picsum.photos/id/153/400/300,Chicken tee,55.99,false,55.99,Free shipping eligible,true,1,1,55.99
foot,https://picsum.photos/id/152/400/300,user-facing deliverables shorts,55.99,false,55.99,Free shipping eligible,true,1,2,55.99
active,https://picsum.photos/id/151/400/300,Plastic Handcrafted sweater,55.99,false,55.99,Standard Shipping,false,1,4,55.99
torso,https://picsum.photos/id/150/400/300,salmon teal hat,55.99,false,55.99,Free shipping eligible,true,1,9,55.99
leg,https://picsum.photos/id/149/400/300,panel calculate tee,55.99,false,55.99,Free shipping eligible,true,1,7,55.99
active,https://picsum.photos/id/148/400/300,niches shoes,55.99,true,55.99,Free shipping eligible,true,0.25,6,$41.99
foot,https://picsum.photos/id/147/400/300,U.S. Cameroon Security pull-over,95.75,false,95.75,Standard Shipping,false,1,10,95.75
swim,https://picsum.photos/id/146/400/300,undefined,55.99,true,55.99,Free shipping eligible,true,0.3,1,$39.19
neck,https://picsum.photos/id/145/400/300,Texas pants,55.99,false,55.99,Standard Shipping,false,1,3,55.99
foot,https://picsum.photos/id/144/400/300,deliver Djibouti pull-over,55.99,true,55.99,Standard Shipping,false,0.5,9,$28.00
head,https://picsum.photos/id/143/400/300,SMS tee,55.99,false,55.99,Standard Shipping,false,1,2,55.99
leg,https://picsum.photos/id/142/400/300,backing Baby long-sleeve,95.75,true,95.75,Free shipping eligible,true,0.3,4,$67.02
leg,https://picsum.photos/id/141/400/300,indigo responsive hat,95.75,false,95.75,Standard Shipping,false,1,10,95.75
head,https://picsum.photos/id/140/400/300,throughput functionalities Soap t-shirt,55.99,true,55.99,Free shipping eligible,true,0.5,6,$28.00
head,https://picsum.photos/id/139/400/300,maroon optimize t-shirt,55.99,true,55.99,Free shipping eligible,true,0.3,7,$39.19
leg,https://picsum.photos/id/138/400/300,silver driver Anguilla sweater,55.99,false,55.99,Free shipping eligible,true,1,7,55.99
neck,https://picsum.photos/id/137/400/300,Regional supply-chains Fresh pull-over,95.75,true,95.75,Free shipping eligible,true,0.2,7,$76.60
undefined,https://picsum.photos/id/136/400/300,invoice California t-shirt,95.75,false,95.75,Standard Shipping,false,1,8,95.75
casual,https://picsum.photos/id/135/400/300,Emirates Global sweater,95.75,true,95.75,Free shipping eligible,true,0.3,1,$67.02
casual,https://picsum.photos/id/134/400/300,Iranian Auto Arkansas hat,55.99,false,55.99,Standard Shipping,false,1,4,55.99
head,https://picsum.photos/id/133/400/300,Sleek long-sleeve,95.75,true,95.75,Free shipping eligible,true,0.1,4,$86.17
active,https://picsum.photos/id/132/400/300,revolutionary suit,95.75,false,95.75,Free shipping eligible,true,1,1,95.75
swim,https://picsum.photos/id/131/400/300,Iranian Auto Arkansas hat,95.75,true,95.75,Standard Shipping,false,0.25,8,$71.81
neck,https://picsum.photos/id/130/400/300,Croatian navigating long-sleeve,95.75,false,95.75,Free shipping eligible,true,1,6,95.75
foot,https://picsum.photos/id/129/400/300,Bfaker.helpers.randomize shirt,95.75,true,95.75,Free shipping eligible,true,0.15,2,$81.39
head,https://picsum.photos/id/128/400/300,backing Baby long-sleeve,95.75,true,95.75,Free shipping eligible,true,0.5,9,$47.88
foot,https://picsum.photos/id/127/400/300,Regional supply-chains Fresh pull-over,95.75,false,95.75,Standard Shipping,false,1,5,95.75
active,https://picsum.photos/id/126/400/300,deliver Djibouti pull-over,55.99,true,55.99,Standard Shipping,false,0.75,6,$14.00
foot,https://picsum.photos/id/125/400/300,Burundi blazer,95.75,true,95.75,Free shipping eligible,true,0.1,7,$86.17
active,https://picsum.photos/id/124/400/300,turquoise suit,95.75,true,95.75,Standard Shipping,false,0.25,8,$71.81
torso,https://picsum.photos/id/123/400/300,Zealand shoes,55.99,true,55.99,Standard Shipping,false,0.75,8,$14.00
head,https://picsum.photos/id/122/400/300,user-facing deliverables shorts,95.75,true,95.75,Free shipping eligible,true,0.25,2,$71.81
casual,https://picsum.photos/id/121/400/300,Poland Customer monitoring pull-over,95.75,true,95.75,Free shipping eligible,true,0.3,9,$67.02
leg,https://picsum.photos/id/120/400/300,transmit Dynamic Pants pants,95.75,true,95.75,Free shipping eligible,true,0.5,3,$47.88
foot,https://picsum.photos/id/119/400/300,Concrete Chad sweater,55.99,true,55.99,Standard Shipping,false,0.25,7,$41.99
active,https://picsum.photos/id/118/400/300,deliver Djibouti pull-over,55.99,false,55.99,Free shipping eligible,true,1,1,55.99
neck,https://picsum.photos/id/117/400/300,Metal Regional shirt,55.99,false,55.99,Standard Shipping,false,1,8,55.99
active,https://picsum.photos/id/116/400/300,Kina hat,95.75,true,95.75,Standard Shipping,false,0.15,1,$81.39
swim,https://picsum.photos/id/115/400/300,revolutionary suit,95.75,true,95.75,Standard Shipping,false,0.5,8,$47.88
swim,https://picsum.photos/id/114/400/300,Buckinghamshire Car Samoa pull-over,95.75,true,95.75,Standard Shipping,false,0.5,2,$47.88
swim,https://picsum.photos/id/113/400/300,Terrace pants,95.75,true,95.75,Free shipping eligible,true,0.5,3,$47.88
head,https://picsum.photos/id/112/400/300,withdrawal lime reinvent t-shirt,55.99,false,55.99,Standard Shipping,false,1,10,55.99
undefined,https://picsum.photos/id/111/400/300,New dynamic t-shirt,95.75,true,95.75,Standard Shipping,false,0.25,9,$71.81
undefined,https://picsum.photos/id/110/400/300,Dollar Configurable Dollar shorts,55.99,true,55.99,Standard Shipping,false,0.3,10,$39.19
head,https://picsum.photos/id/109/400/300,Texas pants,55.99,true,55.99,Free shipping eligible,true,0.25,6,$41.99
torso,https://picsum.photos/id/108/400/300,backing Baby long-sleeve,55.99,false,55.99,Standard Shipping,false,1,6,55.99
active,https://picsum.photos/id/107/400/300,Drives shirt,95.75,true,95.75,Standard Shipping,false,0.1,4,$86.17
undefined,https://picsum.photos/id/106/400/300,Minnesota primary sweater,55.99,false,55.99,Standard Shipping,false,1,1,55.99
head,https://picsum.photos/id/105/400/300,Squares shirt,95.75,true,95.75,Free shipping eligible,true,0.25,7,$71.81
torso,https://picsum.photos/id/104/400/300,Wooden Pataca pull-over,55.99,true,55.99,Standard Shipping,false,0.75,7,$14.00
swim,https://picsum.photos/id/103/400/300,RAM auxiliary t-shirt,95.75,false,95.75,Free shipping eligible,true,1,2,95.75
torso,https://picsum.photos/id/102/400/300,Bfaker.helpers.randomize shirt,55.99,true,55.99,Standard Shipping,false,0.5,8,$28.00
undefined,https://picsum.photos/id/101/400/300,overriding t-shirt,55.99,true,55.99,Free shipping eligible,true,0.15,4,$47.59
neck,https://picsum.photos/id/100/400/300,Zealand shoes,55.99,true,55.99,Standard Shipping,false,0.15,8,$47.59
